"ORSEE_code","trial_id","subject_nr","subject_parity","age","gender","GEB.est","svs_biospheric","svs_altruistic","svs_egoistic","svs_hedonic","EU_ETS","vege_Q1","vege_Q2","vege_Q3","offer_resp_time","trial_order","carbon","money","proenv_decision","decision_diff_resp","DT_Carbon","DT_Money","DT_Total","Rel_DT_Carbon","first_fix_Carbon","last_fix_Carbon","FixCount_Carbon","FixCount_Money","FixCount_Total","Rel_FixCount_Carbon","FixDuration_Carbon","FixDuration_Money","Rel_FixDuration_Carbon","MeanFixDuration","nb_transition"
7828,4,13,"odd",20,"F",1.456,2.5,5.5,-0.2,6.33333333333333,2,1,6,6,1167,19,20,17,0,1,432.001,232.998,665,0.65,0,1,2,1,3,0.67,216.0005,232.998,0.48,221.666333333333,1
7828,5,13,"odd",20,"F",1.456,2.5,5.5,-0.2,6.33333333333333,2,1,6,6,1194,36,35,11,0,2,399.001,415.001,814,0.49,0,0,2,3,5,0.4,199.5005,138.333666666667,0.59,162.8004,2
7828,6,13,"odd",20,"F",1.456,2.5,5.5,-0.2,6.33333333333333,2,1,6,6,2019,13,35,14,0,3,648.986,730.996,1379.98,0.47,1,0,2,3,5,0.4,324.493,243.665333333333,0.57,275.9964,3
7828,7,13,"odd",20,"F",1.456,2.5,5.5,-0.2,6.33333333333333,2,1,6,6,1212,11,35,17,0,1,449.996,350.003,800,0.56,1,0,2,1,3,0.67,224.998,350.003,0.39,266.666333333333,1
7828,8,13,"odd",20,"F",1.456,2.5,5.5,-0.2,6.33333333333333,2,1,6,6,2011,5,35,20,0,2,1247.999,198.989,1446.99,0.86,0,1,6,1,7,0.86,207.999833333333,198.989,0.51,206.712571428571,1
7828,9,13,"odd",20,"F",1.456,2.5,5.5,-0.2,6.33333333333333,2,1,6,6,1506,26,50,14,0,1,300.006,697.012,997.02,0.3,0,0,1,3,4,0.25,300.006,232.337333333333,0.56,249.2545,2
7835,1,13,"odd",23,"F",0.269,5.25,6,1.4,6.33333333333333,2,NA,NA,NA,2314,6,20,8,1,1,216.998,1463.013,1680.01,0.13,0,0,1,5,6,0.17,216.998,292.6026,0.43,280.001833333333,2
7835,10,13,"odd",23,"F",0.269,5.25,6,1.4,6.33333333333333,2,NA,NA,NA,7686,13,50,17,0,3,2595.008,3247.014,5842.02,0.44,0,0,12,8,20,0.6,216.250666666667,405.87675,0.35,292.1011,8
7835,11,13,"odd",23,"F",0.269,5.25,6,1.4,6.33333333333333,2,NA,NA,NA,5385,20,50,20,1,2,2594.992,1581.018,4176.01,0.62,0,1,11,7,18,0.61,235.908363636364,225.859714285714,0.51,232.000555555556,7
7835,12,13,"odd",23,"F",0.269,5.25,6,1.4,6.33333333333333,2,NA,NA,NA,4241,30,50,23,1,2,1214.016,1911.999,3126.02,0.39,0,0,4,6,10,0.4,303.504,318.6665,0.49,312.6015,6
7835,13,13,"odd",23,"F",0.269,5.25,6,1.4,6.33333333333333,2,NA,NA,NA,5224,27,65,17,1,1,1463.999,1944.013,3408.01,0.43,0,0,8,8,16,0.5,182.999875,243.001625,0.43,213.00075,8
7835,14,13,"odd",23,"F",0.269,5.25,6,1.4,6.33333333333333,2,NA,NA,NA,10096,35,65,20,1,3,3294.999,4167.014,7462.01,0.44,0,1,12,16,28,0.43,274.58325,260.438375,0.51,266.500464285714,11
